Organism,Treatment,Cells
Acetic acid bacteria,SO2,305040
Acetic acid bacteria,Td/Mp,260620
Hanseniaspora uvarum/guilliermondii,SO2,28309780
Hanseniaspora uvarum/guilliermondii,Td/Mp,9387320
L. brevis/hilgardii/fermentum,SO2,1101
L. brevis/hilgardii/fermentum,Td/Mp,7763
Lactobacillus kunkeei,SO2,388900
Lactobacillus kunkeei,Td/Mp,214650
Lactobacillus plantarum/casei/mali,SO2,571
Lactobacillus plantarum/casei/mali,Td/Mp,1931
Pediococcus species,SO2,5450
Pediococcus species,Td/Mp,6290
Pichia membranifaciens/fermentans,SO2,292
Pichia membranifaciens/fermentans,Td/Mp,483
Zygosaccharomyces species,SO2,1451
Zygosaccharomyces species,Td/Mp,1291
