ferm_stage,organism,treatment,efficacy
cold_soak,aa,control,1.098629
cold_soak,aa,egide,0.93305321
cold_soak,hu,control,0.031517051
cold_soak,hu,egide,0.022862883
cold_soak,lb,control,1.602059991
cold_soak,lb,egide,0
cold_soak,lk,control,1.313011293
cold_soak,lk,egide,1.521324917
cold_soak,lp,control,2.414973348
cold_soak,lp,egide,2.113943352
cold_soak,pdo,control,0.813866803
cold_soak,pdo,egide,1.640150041
cold_soak,pm,control,0.455931956
cold_soak,pm,egide,0
cold_soak,zygo,control,0.519525103
cold_soak,zygo,egide,0.763427994
early_ferm,aa,control,-0.305314824
early_ferm,aa,egide,-0.10846429
early_ferm,hu,control,0.076388346
early_ferm,hu,egide,0.654387872
early_ferm,lb,control,-2.968482949
early_ferm,lb,egide,-3.876217841
early_ferm,lk,control,-0.006031965
early_ferm,lk,egide,-0.586265724
early_ferm,lp,control,-2.176091259
early_ferm,lp,egide,-3.225309282
early_ferm,pdo,control,0.669006781
early_ferm,pdo,egide,-0.85023768
early_ferm,pm,control,1.84509804
early_ferm,pm,egide,2.380211242
early_ferm,zygo,control,-0.032184683
early_ferm,zygo,egide,-0.763427994
mid_ferm,aa,control,-0.144733551
mid_ferm,aa,egide,0.224466018
mid_ferm,hu,control,0.812913357
mid_ferm,hu,egide,-0.070263182
mid_ferm,lb,control,0.927090263
mid_ferm,lb,egide,1.496006599
mid_ferm,lk,control,1.116697607
mid_ferm,lk,egide,1.321616526
mid_ferm,lp,control,0.698970004
mid_ferm,lp,egide,1.748188027
mid_ferm,pdo,control,0.875061263
mid_ferm,pdo,egide,1.327358934
mid_ferm,pm,control,-1.301029996
mid_ferm,pm,egide,0
mid_ferm,zygo,control,0.748188027
mid_ferm,zygo,egide,1.286306739
late_ferm,aa,control,-0.057172781
late_ferm,aa,egide,-0.288877059
late_ferm,hu,control,2.088842391
late_ferm,hu,egide,2.46293895
late_ferm,lb,control,0.740362689
late_ferm,lb,egide,2.380211242
late_ferm,lk,control,0.801632346
late_ferm,lk,egide,0.389587934
late_ferm,lp,control,-0.636822098
late_ferm,lp,egide,-0.477121255
late_ferm,pdo,control,0
late_ferm,pdo,egide,0
late_ferm,pm,control,1.301029996
late_ferm,pm,egide,0
late_ferm,zygo,control,1.698970004
late_ferm,zygo,egide,1.477121255
