Treatment,Day,Organism,Cells
SO2,1,AA,177200
SO2,1,HU,10000000
SO2,1,LB,40
SO2,1,LK,352800
SO2,1,LP,260
SO2,1,PDO,4560
SO2,1,PM,200
SO2,1,ZYGO,860
Td/Mp,1,AA,170400
Td/Mp,1,HU,3900000
Td/Mp,1,LB,1
Td/Mp,1,LK,186000
Td/Mp,1,LP,130
Td/Mp,1,PDO,5240
Td/Mp,1,PM,240
Td/Mp,1,ZYGO,580
SO2,4,AA,14120
SO2,4,HU,9300000
SO2,4,LB,1
SO2,4,LK,17160
SO2,4,LP,1
SO2,4,PDO,700
SO2,4,PM,70
SO2,4,ZYGO,260
Td/Mp,4,AA,19880
Td/Mp,4,HU,3700000
Td/Mp,4,LB,1
Td/Mp,4,LK,5600
Td/Mp,4,LP,1
Td/Mp,4,PDO,120
Td/Mp,4,PM,240
Td/Mp,4,ZYGO,100
SO2,6,AA,28520
SO2,6,HU,7800000
SO2,6,LB,930
SO2,6,LK,17400
SO2,6,LP,150
SO2,6,PDO,150
SO2,6,PM,1
SO2,6,ZYGO,280
Td/Mp,6,AA,25520
Td/Mp,6,HU,820000
Td/Mp,6,LB,7520
Td/Mp,6,LK,21600
Td/Mp,6,LP,1680
Td/Mp,6,PDO,850
Td/Mp,6,PM,1
Td/Mp,6,ZYGO,580
SO2,8,AA,39800
SO2,8,HU,1200000
SO2,8,LB,110
SO2,8,LK,1330
SO2,8,LP,30
SO2,8,PDO,20
SO2,8,PM,20
SO2,8,ZYGO,50
Td/Mp,8,AA,15220
Td/Mp,8,HU,964000
Td/Mp,8,LB,240
Td/Mp,8,LK,1030
Td/Mp,8,LP,30
Td/Mp,8,PDO,40
Td/Mp,8,PM,1
Td/Mp,8,ZYGO,30
SO2,15,AA,45400
SO2,15,HU,9780
SO2,15,LB,20
SO2,15,LK,210
SO2,15,LP,130
SO2,15,PDO,20
SO2,15,PM,1
SO2,15,ZYGO,1
Td/Mp,15,AA,29600
Td/Mp,15,HU,3320
Td/Mp,15,LB,1
Td/Mp,15,LK,420
Td/Mp,15,LP,90
Td/Mp,15,PDO,40
Td/Mp,15,PM,1
Td/Mp,15,ZYGO,1
